"","Count","lng","lat","district","town","Predicty4"
"158",3,121.5964517,25.0805532,"內湖區","清白里",1.59403654439512
"159",3,121.5964517,25.0805532,"內湖區","清白里",1.99947232472778
"160",3,121.590043,25.0484506,"南港區","聯成里",1.28639657444065
"161",3,121.576419,25.0836,"內湖區","港華里",1.69501488058061
"162",3,121.518604,25.090747,"士林區","後港里",1.70452074674664
"163",3,121.5562892,25.0527709,"松山區","東勢里",1.62213433677382
"164",3,121.5562892,25.0527709,"松山區","東勢里",1.35410469798277
"165",3,121.5654357,25.0648388,"松山區","莊敬里",1.69980742234171
"166",3,121.5159984,25.0675785,"大同區","斯文里",1.53981408371017
"167",3,121.5159984,25.0675785,"大同區","斯文里",1.63683848591366
"168",3,121.5391739,25.1094352,"士林區","芝山里",NA
"169",3,121.528236,25.121461,"士林區","天玉里",1.24871947103383
"170",3,121.528236,25.121461,"士林區","天玉里",1.46928670866034
"171",3,121.5276655,25.0396222,"中正區","文北里",1.90924420068262
"172",3,121.5654357,25.0648388,"松山區","莊敬里",1.53959963579588
"173",3,121.5654357,25.0648388,"松山區","莊敬里",1.36081301917351
"174",3,121.5276655,25.0396222,"中正區","文北里",1.49799887619919
"175",3,121.5359222,25.118853,"士林區","天和里",1.65155909901212
"176",3,121.5276655,25.0396222,"中正區","文北里",1.61062179402154
"177",2,121.5086779,25.0456237,"萬華區","福星里",1.39773904421747
"178",2,121.5393837,25.0412825,"大安區","義村里",0.907247373162092
"179",2,121.5310061,25.112672,"士林區","天祿里",1.45343944025595
"180",2,121.4265606,25.1897584,NA,NA,1.38440660233526
"181",2,121.582084,25.04972,"南港區","玉成里",1.40394720159191
"182",2,121.5445786,25.0414031,"大安區","仁愛里",1.1610233866633
"183",2,121.4905192,25.0275226,"萬華區","和德里",1.73727811097024
"184",2,121.5196428,25.1139843,"北投區","裕民里",1.67067698398798
"185",2,121.522921,25.052566,"中山區","康樂里",1.28868039286101
"186",2,121.555722,25.113777,"士林區","永福里",1.45522815837235
"187",2,121.5799462,25.0540411,"內湖區","行善里",NA
"188",2,121.580641,25.039746,"信義區","大道里",1.37613111326872
"189",2,121.564117,25.0273839,"信義區","三張里",1.59820541650206
"190",2,121.591747,25.085749,"內湖區","金龍里",NA
"191",2,121.5279341,25.0877619,"士林區","福林里",1.61132151849964
"192",2,121.5197099,25.1106645,"北投區","裕民里",1.31839396848857
"193",2,121.5310061,25.112672,"士林區","天祿里",1.43698583348683
"194",2,121.505464,25.136002,"北投區","長安里",0.965644042001128
"195",2,121.52915,25.102951,"士林區","名山里",1.22036860473588
"196",2,121.5019894,25.1320893,"北投區","中央里",NA
"197",2,121.516534,25.057583,"大同區","雙連里",1.5769358829973
"198",2,121.544845,24.9955215,"文山區","興福里",0.786880730381033
"199",2,121.6169303,25.0744263,"內湖區","安泰里",1.40832669751448
"200",2,121.6173534,25.0360999,"南港區","九如里",2.36488679204176
"201",2,121.582084,25.04972,"南港區","玉成里",1.37002931364702
"202",2,121.6173534,25.0360999,"南港區","九如里",1.32849528636033
"203",2,121.6175931,25.0702068,"內湖區","東湖里",1.61611903362915
"204",2,121.5224257,25.0996148,"士林區","德華里",1.8268155839147
"205",2,121.545729,25.046725,"松山區","中崙里",NA
"206",2,121.5316479,25.1073349,"士林區","聖山里",1.04628240694083
"207",2,121.617241,25.044281,"南港區","中研里",1.4966008637099
"208",2,121.5292186,25.1192822,"士林區","天玉里",1.92319990543165
"209",2,121.5261411,25.1064637,"士林區","忠誠里",1.59071763197443
"210",2,121.579864,25.048702,"信義區","永吉里",1.61442674108068
"211",2,121.579864,25.048702,"信義區","永吉里",1.96853635451229
"212",2,121.5723087,25.0844201,"內湖區","港華里",0.929787948408551
"213",2,121.5002493,25.0383682,"萬華區","富民里",1.03854488543524
"214",2,121.5125406,25.1396465,"北投區","林泉里",1.53424912219345
"215",2,121.577846,25.03931,"信義區","國業里",NA
"216",2,121.607583,25.058759,"南港區","南港里",0.682936849038215
"217",2,121.6132533,25.0679592,"內湖區","五分里",1.55884371832413
"218",2,121.491399,25.0278364,"萬華區","和德里",1.30353038962639
"219",2,121.5935836,25.0514347,"南港區","西新里",NA
"220",2,121.6169303,25.0744263,"內湖區","安泰里",1.44039155293952
"221",2,121.5543071,24.9824252,"文山區","樟文里",1.78780688273363
"222",2,121.5559761,24.9803476,"文山區","樟新里",1.60258931798856
"223",2,121.518778,25.104747,"北投區","建民里",0.929440099852441
"224",2,121.5020265,25.0450164,"萬華區","萬壽里",2.10019129844328
"225",2,121.604307,25.086578,"內湖區","大湖里",1.08953302783126
"226",2,121.5864972,25.0644905,"內湖區","石潭里",1.06421608109308
"227",2,121.551581,25.00608,"文山區","興旺里",NA
"228",2,121.4933551,25.0263697,"萬華區","錦德里",1.3312924036544
"229",2,121.5227083,25.1227029,"北投區","永欣里",1.52511494094915
"230",2,121.5227083,25.1227029,"北投區","永欣里",1.75814532544673
"231",2,121.5594095,25.0323258,"信義區","景聯里",1.66265357840774
"232",2,121.5430777,25.060353,"中山區","江寧里",NA
"233",2,121.5096875,25.0673186,"大同區","國順里",0.397011082066786
"234",2,121.581215,25.047526,"南港區","合成里",0.85096003267949
"235",2,121.501912,25.0298249,"萬華區","頂碩里",NA
"236",2,121.5008979,25.0287824,"萬華區","新安里",2.58297565169842
"237",2,121.514288,25.108711,"北投區","文林里",1.49444773336824
"238",2,121.5133319,25.0762979,"大同區","老師里",NA
"239",2,121.493825,25.019096,"萬華區","榮德里",1.40242305212685
"240",2,121.5012592,25.0423999,"萬華區","菜園里",1.45484330521565
"241",2,121.5611227,25.0907733,"內湖區","西康里",1.50514720278611
"242",2,121.498138,25.134866,"北投區","大同里",2.25206856117853
"243",2,121.5116917,25.0534678,"大同區","永樂里",1.46284922233924
"244",2,121.538868,25.003157,"文山區","萬祥里",1.67769510328436
"245",2,121.6011216,25.0845935,"內湖區","秀湖里",1.14424765529196
"246",2,121.5744992,25.0438809,"信義區","五全里",NA
"247",2,121.5012525,25.0300032,"萬華區","頂碩里",1.06551027920965
