里,兄弟姊妹間暴力,老人保護,兒少保護,其他家虐,親密關係,各里總案件數,女,男,小於18歲,18到65歲,大於65歲,兄弟姊妹間暴力Rank,老人保護Rank,兒少保護Rank,其他家虐Rank,親密關係Rank,低收Rank,障礙Rank
臺北市中山區北安里,,,2,5,1,8,87.50%,12.50%,0%,75%,25%,,,43%,39%,0%,0%,0%
臺北市大安區華聲里,,,,3,5,8,87.50%,12.50%,0%,63%,38%,,,,16%,14%,0%,0%
臺北市士林區翠山里,,2,,2,4,8,37.50%,62.50%,25%,25%,50%,,50%,,7%,8%,0%,0%
臺北市士林區岩山里,,,,3,5,8,100.00%,0.00%,0%,100%,0%,,,,16%,14%,0%,0%
臺北市信義區興隆里,,,,3,4,7,71.43%,28.57%,0%,86%,14%,,,,16%,8%,0%,0%
臺北市信義區嘉興里,,1,,2,4,7,71.43%,28.57%,14%,86%,0%,,0%,,7%,8%,0%,0%
臺北市松山區復源里,,,2,,5,7,71.43%,28.57%,29%,57%,14%,,,43%,,14%,0%,0%
臺北市文山區景美里,,1,1,2,3,7,71.43%,28.57%,0%,57%,43%,,0%,0%,7%,5%,0%,0%
臺北市中正區龍興里,,2,,1,4,7,85.71%,14.29%,0%,71%,29%,,50%,,0%,8%,0%,0%
臺北市中正區建國里,,,2,1,4,7,57.14%,42.86%,14%,57%,29%,,,43%,0%,8%,0%,0%
臺北市大安區龍安里,1,1,,2,3,7,85.71%,14.29%,0%,86%,14%,0.00%,0%,,7%,5%,0%,0%
臺北市士林區陽明里,1,1,,1,4,7,71.43%,28.57%,0%,71%,29%,0.00%,0%,,0%,8%,0%,0%
臺北市士林區公館里,,,,3,4,7,57.14%,42.86%,0%,71%,29%,,,,16%,8%,0%,0%
臺北市南港區萬福里,,,,4,2,6,66.67%,33.33%,0%,100%,0%,,,,30%,2%,0%,0%
臺北市內湖區蘆洲里,,1,,2,3,6,66.67%,33.33%,0%,100%,0%,,0%,,7%,5%,0%,0%
臺北市中正區水源里,,,,1,5,6,33.33%,66.67%,0%,83%,17%,,,,0%,14%,0%,0%
臺北市萬華區騰雲里,1,,,2,2,5,40.00%,60.00%,20%,60%,20%,0.00%,,,7%,2%,0%,0%
臺北市萬華區保德里,,,,3,2,5,20.00%,80.00%,0%,100%,0%,,,,16%,2%,34%,1%
臺北市文山區萬有里,,,1,1,3,5,40.00%,60.00%,20%,60%,20%,,,0%,0%,5%,0%,0%
臺北市文山區老泉里,,,1,1,3,5,80.00%,20.00%,0%,100%,0%,,,0%,0%,5%,54%,0%
臺北市內湖區西安里,,,,3,2,5,80.00%,20.00%,0%,100%,0%,,,,16%,2%,0%,0%
臺北市中正區黎明里,,,,2,3,5,80.00%,20.00%,20%,80%,0%,,,,7%,5%,0%,0%
臺北市大安區錦華里,,,1,,4,5,80.00%,20.00%,0%,100%,0%,,,0%,,8%,0%,0%
臺北市北投區洲美里,,,,1,3,4,75.00%,25.00%,25%,75%,0%,,,,0%,5%,0%,1%
